Unnamed: 0,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.9,5040365.47,1833946.59,1760956.02,232755.85,1212707.01,1090140.07,110737.35,11829.59,conventional,2015,California
1,2015-12-20,0.94,4695737.21,1676601.43,1543280.76,266689.82,1209165.2,1061703.58,136747.1,10714.52,conventional,2015,California
2,2015-12-13,0.87,5259354.3,1806690.08,1627240.76,232985.13,1592438.33,1404012.0,180150.37,8275.96,conventional,2015,California
3,2015-12-06,0.78,5775536.27,1943065.5,2100246.17,221957.26,1510267.34,1376640.91,126664.37,6962.06,conventional,2015,California
4,2015-11-29,0.91,4575710.62,1461699.38,1810202.7,222311.07,1081497.47,991568.84,82338.39,7590.24,conventional,2015,California
5,2015-11-22,0.92,4804278.16,1602215.57,1917124.52,215632.16,1069305.91,979612.52,82444.32,7249.07,conventional,2015,California
6,2015-11-15,0.83,5755190.69,2243013.44,2164098.99,195159.32,1152918.94,1091768.68,53797.92,7352.34,conventional,2015,California
7,2015-11-08,0.98,5148983.51,2317858.81,1758964.54,216523.58,855636.58,813006.4,36305.96,6324.22,conventional,2015,California
8,2015-11-01,0.95,5830427.96,2369824.75,2596785.28,211901.97,651915.96,626993.54,19804.69,5117.73,conventional,2015,California
9,2015-10-25,1.12,4592461.81,1733791.31,2025016.15,215622.63,618031.72,606392.86,7596.27,4042.59,conventional,2015,California
10,2015-10-18,1.07,4999031.79,1847991.31,2286235.79,217814.17,646990.52,633893.61,10780.32,2316.59,conventional,2015,California
11,2015-10-11,1.08,5063309.38,1757211.58,2530023.18,221032.74,555041.88,533478.03,18373.18,3190.67,conventional,2015,California
12,2015-10-04,1.02,4943781.29,1461112.39,2788317.94,222260.58,472090.38,442923.78,25572.26,3594.34,conventional,2015,California
13,2015-09-27,1.04,5216784.63,1860050.39,2635028.38,206460.07,515245.79,496867.66,13336.34,5041.79,conventional,2015,California
14,2015-09-20,1.14,4759791.13,1702965.49,2230693.51,273922.36,552209.77,529779.37,17303.91,5126.49,conventional,2015,California
15,2015-09-13,1.13,5106508.12,1863270.81,2388023.33,270794.34,584419.64,502056.88,76297.56,6065.2,conventional,2015,California
16,2015-09-06,1.09,5806392.78,2859325.91,2077193.6,240185.0,629688.27,591629.83,33545.37,4513.07,conventional,2015,California
17,2015-08-30,1.08,5647385.15,3104607.82,1660274.32,233027.36,649475.65,640600.64,5989.25,2885.76,conventional,2015,California
18,2015-08-23,1.18,5193221.0,2626977.95,1798911.33,222082.91,545248.81,535183.95,6573.5,3491.36,conventional,2015,California
19,2015-08-16,1.11,5616434.08,3098708.55,1731349.0,208724.73,577651.8,572197.46,2081.96,3372.38,conventional,2015,California
20,2015-08-09,1.1,6232081.27,3260775.73,2196704.97,193831.6,580768.97,570728.54,7356.84,2683.59,conventional,2015,California
21,2015-08-02,1.16,5428238.87,2940145.82,1737845.94,183471.03,566776.08,559587.76,4953.57,2234.75,conventional,2015,California
22,2015-07-26,1.13,5557616.27,3112921.78,1636659.9,209427.05,598607.54,590750.1,5181.16,2676.28,conventional,2015,California
23,2015-07-19,1.18,5225200.52,2805887.74,1629871.75,188207.47,601233.56,577736.96,20673.8,2822.8,conventional,2015,California
24,2015-07-12,1.13,5451636.92,2747299.98,1923893.11,157478.05,622965.78,601358.64,18032.41,3574.73,conventional,2015,California
25,2015-07-05,1.12,6718011.83,3581149.88,2120303.06,254187.47,762371.42,731692.08,27317.19,3362.15,conventional,2015,California
26,2015-06-28,1.1,5641742.02,3163839.74,1610910.07,212173.21,654819.0,630301.44,21861.54,2656.02,conventional,2015,California
27,2015-06-21,1.07,5952597.29,3328631.93,1743509.25,218423.77,662032.34,634244.68,24277.53,3510.13,conventional,2015,California
28,2015-06-14,0.97,6741662.31,4075881.34,1771908.98,210670.82,683201.17,657421.42,22961.19,2818.56,conventional,2015,California
29,2015-06-07,0.98,6374842.9,3614314.44,1860329.3,221330.48,678868.68,651944.51,23422.39,3501.78,conventional,2015,California
30,2015-05-31,0.98,6236903.31,3620440.35,1826496.62,209443.33,580523.01,554224.64,23083.08,3215.29,conventional,2015,California
31,2015-05-24,1.1,5621713.64,2978396.74,1873205.91,195991.06,574119.93,546420.69,24485.84,3213.4,conventional,2015,California
32,2015-05-17,1.08,5289138.5,2923673.93,1649623.66,168597.35,547243.56,525804.7,18497.03,2941.83,conventional,2015,California
33,2015-05-10,0.93,6650357.96,4085858.78,1735132.32,194575.97,634790.89,613601.09,18366.27,2823.53,conventional,2015,California
34,2015-05-03,0.88,8567534.49,4340117.03,3403145.1,192473.92,631798.44,609388.58,19735.89,2673.97,conventional,2015,California
35,2015-04-26,1.15,4923565.04,2421009.67,1729486.77,196469.02,576599.58,548252.41,26483.99,1863.18,conventional,2015,California
36,2015-04-19,1.05,5871080.81,3024466.22,2070974.14,177354.82,598285.63,524767.96,71988.59,1529.08,conventional,2015,California
37,2015-04-12,1.06,5636644.51,2848184.0,1988818.23,185198.77,614443.51,532714.02,79865.3,1864.19,conventional,2015,California
38,2015-04-05,1.12,5467155.55,2754464.87,1886168.89,225396.85,601124.94,539258.29,59212.09,2654.56,conventional,2015,California
39,2015-03-29,1.1,5341821.67,2609532.63,1869271.31,193577.55,669440.18,605995.11,61958.73,1486.34,conventional,2015,California
40,2015-03-22,1.06,5571812.77,2348618.25,2314393.94,195791.46,713009.12,681403.86,30058.97,1546.29,conventional,2015,California
41,2015-03-15,1.06,5557163.11,2962520.41,1737353.95,194761.49,662527.26,632903.55,27625.15,1998.56,conventional,2015,California
42,2015-03-08,0.96,5990243.89,3484274.6,1649936.05,184720.58,671312.66,642307.0,27241.05,1764.61,conventional,2015,California
43,2015-03-01,0.84,6700134.25,3516551.29,2460932.41,170580.54,552070.01,515386.4,34845.51,1838.1,conventional,2015,California
44,2015-02-22,0.96,5951871.32,3210177.22,1933699.49,172675.88,635318.73,596184.9,36940.51,2193.32,conventional,2015,California
45,2015-02-15,0.96,5699944.93,3315163.6,1620462.13,169907.54,594411.66,544990.68,47017.93,2403.05,conventional,2015,California
46,2015-02-08,0.91,5871224.58,2908845.38,2200393.89,149458.93,612526.38,553682.71,56311.08,2532.59,conventional,2015,California
47,2015-02-01,0.85,9032180.67,4794142.14,3460743.8,177145.49,600149.24,556205.2,41203.2,2740.84,conventional,2015,California
48,2015-01-25,1.06,4929884.26,2380955.61,1827783.28,150535.5,570609.87,521004.15,46809.48,2796.24,conventional,2015,California
49,2015-01-18,1.02,5570915.26,2780859.66,2108450.36,121614.31,559990.93,520299.26,36501.18,3190.49,conventional,2015,California
50,2015-01-11,0.92,6024932.34,2889591.29,2485720.1,103573.42,546047.53,510560.41,31874.03,3613.09,conventional,2015,California
51,2015-01-04,0.93,5777334.9,2843648.26,2267755.26,137479.64,528451.74,477193.38,47882.56,3375.8,conventional,2015,California
0,2015-12-27,1.01,2580602.96,336673.7,1411808.83,254629.93,577490.5,400003.8,98401.09,79085.61,conventional,2015,Great Lakes
1,2015-12-20,1.01,2504745.45,383701.76,1337404.03,241580.61,542059.05,358218.65,122999.48,60840.92,conventional,2015,Great Lakes
